Subject Number,Gender,"Acromial Height, Sitting (mm)",Ankle Circumference (mm),Spine-to-Shoulder (mm),Spine-to-Elbow (mm),Arm Length (Spine to Wrist) (mm),Arm Length (Shoulder to Wrist) (mm),Arm Length (Shoulder to Elbow) (mm),Armscye Circumference (Scye Circ Over Acromion) (mm),Bizygomatic Breadth (mm),Chest Circumference (mm),Bust/Chest Circumference Under Bust (mm),Buttock-Knee Length (mm),Chest Girth at Scye (Chest Circumference at Scye)(mm),Crotch Height (mm),"Elbow Height, Sitting (mm)","Eye Height, Sitting (mm)",Face Length (mm),Foot Length (mm),Hand Circumference (mm),Hand Length (mm),Head Breadth (mm),Head Circumference (mm),Head Length (mm),"Hip Breadth, Sitting (mm)","Hip Circumference, Maximum (mm)",Hip Circ Max Height (mm),Knee Height (mm),Neck Base Circumference (mm),Shoulder Breadth (mm),Sitting Height (mm),Stature (mm),Subscapular Skinfold (mm),Thigh Circumference (mm),Thigh Circumference Max Sitting (mm),Thumb Tip Reach (mm),TTR 1 (mm),TTR 2 (mm),TTR 3 (mm),Triceps Skinfold (mm),Total Crotch Length (Crotch Length) (mm),Vertical Trunk Circumference (mm),"Waist Circumference, Pref (mm)",Waist Front Length (mm),"Waist Height, Preferred (mm)",Weight (kg),frontal_image,lateral_image,frontal_mask,lateral_mask
2662,Female,576.0,243.0,186.0,498.0,753.0,567.0,312.0,351.0,148.0,938.0,770.0,558.0,912.0,713.0,251.0,742.0,119.0,225.0,187.0,176.0,160.0,549.0,181.0,399.0,1012.0,756.0,484.0,403.0,411.0,853.0,1587.0,20.0,614.0,612.0,718.3,725.0,717.0,713.0,31.0,772.0,1551.0,707.0,298.0,1025.0,61.68,csr2662a_frontal.png,csr2662a_lateral.png,csr2662a_frontal_mask.png,csr2662a_lateral_mask.png
2664,Male,624.0,257.0,210.0,571.0,857.0,647.0,361.0,385.0,134.0,851.0,,598.0,872.0,769.0,255.0,837.0,117.0,265.0,200.0,210.0,146.0,549.0,193.0,326.0,913.0,844.0,536.0,443.0,446.0,948.0,1779.0,8.0,529.0,521.0,838.3,827.0,840.0,848.0,9.0,588.0,1706.0,793.0,504.0,992.0,60.32,csr2664a_frontal.png,csr2664a_lateral.png,csr2664a_frontal_mask.png,csr2664a_lateral_mask.png
2665,Female,527.0,238.0,213.0,528.0,791.0,578.0,315.0,380.0,126.0,970.0,772.0,596.0,915.0,767.0,188.0,747.0,113.0,236.0,184.0,189.0,146.0,564.0,199.0,390.0,992.0,847.0,533.0,408.0,428.0,853.0,1648.0,14.0,581.0,563.0,753.0,750.0,754.0,755.0,15.0,685.0,1534.0,767.0,348.0,1035.0,64.17,csr2665a_frontal.png,csr2665a_lateral.png,csr2665a_frontal_mask.png,csr2665a_lateral_mask.png
2666,Male,599.0,239.0,219.0,523.0,812.0,593.0,304.0,386.0,139.0,834.0,,544.0,860.0,730.0,273.0,843.0,118.0,258.0,195.0,186.0,150.0,557.0,193.0,332.0,879.0,812.0,504.0,418.0,444.0,956.0,1705.0,13.0,474.0,474.0,733.0,734.0,735.0,730.0,6.5,677.0,1602.0,709.0,389.0,999.0,54.88,csr2666a_frontal.png,csr2666a_lateral.png,csr2666a_frontal_mask.png,csr2666a_lateral_mask.png
2668,Male,563.0,245.0,211.0,562.0,851.0,640.0,351.0,420.0,144.0,952.0,,614.0,977.0,723.0,197.0,746.0,120.0,250.0,204.0,195.0,149.0,546.0,185.0,372.0,1005.0,828.0,538.0,434.0,482.0,862.0,1697.0,28.0,583.0,619.0,796.6,798.0,798.0,794.0,17.0,621.0,1719.0,878.0,463.0,971.0,71.88,csr2668a_frontal.png,csr2668a_lateral.png,csr2668a_frontal_mask.png,csr2668a_lateral_mask.png
2669,Female,549.0,225.0,199.0,485.0,723.0,524.0,286.0,351.0,138.0,884.0,750.0,538.0,876.0,703.0,249.0,731.0,113.0,224.0,171.0,164.0,153.0,563.0,189.0,355.0,889.0,771.0,470.0,408.0,415.0,840.0,1557.0,25.0,515.0,516.0,693.0,682.0,693.0,704.0,17.5,648.0,1481.0,704.0,347.0,957.0,53.74,csr2669a_frontal.png,csr2669a_lateral.png,csr2669a_frontal_mask.png,csr2669a_lateral_mask.png
2670,Male,631.0,260.0,224.0,561.0,837.0,613.0,337.0,475.0,153.0,1011.0,,589.0,1039.0,743.0,268.0,819.0,121.0,247.0,217.0,203.0,157.0,568.0,193.0,357.0,996.0,795.0,533.0,474.0,518.0,949.0,1738.0,15.5,587.0,578.0,786.6,773.0,798.0,789.0,9.0,590.0,1723.0,898.0,498.0,979.0,83.45,csr2670a_frontal.png,csr2670a_lateral.png,csr2670a_frontal_mask.png,csr2670a_lateral_mask.png
2671,Female,584.0,259.0,215.0,554.0,833.0,618.0,339.0,466.0,146.0,1132.0,927.0,647.0,1089.0,804.0,235.0,755.0,116.0,258.0,190.0,195.0,154.0,570.0,192.0,476.0,1176.0,892.0,556.0,460.0,448.0,871.0,1723.0,30.5,672.0,669.0,810.3,803.0,817.0,811.0,40.0,723.0,1726.0,939.0,445.0,1070.0,93.2,csr2671a_frontal.png,csr2671a_lateral.png,csr2671a_frontal_mask.png,csr2671a_lateral_mask.png
2672,Female,574.0,263.0,191.0,515.0,795.0,604.0,324.0,413.0,136.0,980.0,778.0,629.0,978.0,775.0,235.0,764.0,112.0,246.0,190.0,195.0,148.0,552.0,194.0,471.0,1124.0,841.0,537.0,408.0,414.0,877.0,1693.0,21.0,663.0,684.0,764.6,776.0,754.0,764.0,37.0,765.0,1644.0,810.0,365.0,1064.0,81.86,csr2672a_frontal.png,csr2672a_lateral.png,csr2672a_frontal_mask.png,csr2672a_lateral_mask.png
2673,Female,519.0,232.0,192.0,493.0,764.0,572.0,301.0,364.0,130.0,930.0,779.0,568.0,904.0,701.0,208.0,694.0,114.0,222.0,180.0,173.0,143.0,542.0,187.0,368.0,961.0,748.0,478.0,404.0,407.0,819.0,1530.0,16.5,561.0,544.0,711.6,725.0,706.0,704.0,21.0,692.0,1494.0,705.0,321.0,966.0,57.37,csr2673a_frontal.png,csr2673a_lateral.png,csr2673a_frontal_mask.png,csr2673a_lateral_mask.png
2675,Male,584.0,265.0,207.0,509.0,784.0,577.0,302.0,384.0,139.0,893.0,,568.0,926.0,725.0,263.0,788.0,131.0,268.0,198.0,188.0,157.0,608.0,195.0,335.0,927.0,805.0,530.0,466.0,450.0,921.0,1690.0,12.0,561.0,568.0,738.3,753.0,738.0,724.0,9.0,604.0,1662.0,801.0,475.0,933.0,64.85,csr2675a_frontal.png,csr2675a_lateral.png,csr2675a_frontal_mask.png,csr2675a_lateral_mask.png
2676,Male,585.0,236.0,206.0,553.0,846.0,640.0,347.0,371.0,144.0,758.0,,617.0,817.0,800.0,217.0,791.0,118.0,253.0,179.0,191.0,153.0,553.0,197.0,321.0,876.0,865.0,526.0,408.0,436.0,914.0,1741.0,9.5,487.0,472.0,764.0,764.0,764.0,764.0,8.0,567.0,1554.0,696.0,436.0,1018.0,52.61,csr2676a_frontal.png,csr2676a_lateral.png,csr2676a_frontal_mask.png,csr2676a_lateral_mask.png
2677,Male,604.0,268.0,222.0,572.0,881.0,659.0,350.0,474.0,149.0,1031.0,,622.0,1073.0,780.0,245.0,782.0,114.0,257.0,203.0,201.0,155.0,584.0,199.0,389.0,1067.0,865.0,554.0,496.0,519.0,904.0,1728.0,27.0,607.0,623.0,784.3,776.0,793.0,784.0,13.0,627.0,1714.0,909.0,433.0,992.0,85.49,csr2677a_frontal.png,csr2677a_lateral.png,csr2677a_frontal_mask.png,csr2677a_lateral_mask.png
2680,Male,659.0,266.0,213.0,628.0,967.0,754.0,415.0,456.0,140.0,1029.0,,707.0,1047.0,983.0,227.0,838.0,132.0,288.0,210.0,221.0,151.0,588.0,208.0,377.0,1013.0,1039.0,655.0,481.0,483.0,969.0,1996.0,23.0,603.0,595.0,896.6,896.0,899.0,895.0,16.5,578.0,1800.0,905.0,544.0,1200.0,88.21,csr2680a_frontal.png,csr2680a_lateral.png,csr2680a_frontal_mask.png,csr2680a_lateral_mask.png
2681,Female,573.0,257.0,193.0,507.0,796.0,603.0,314.0,398.0,140.0,920.0,823.0,579.0,892.0,757.0,235.0,762.0,120.0,245.0,202.0,183.0,144.0,561.0,198.0,396.0,1015.0,804.0,523.0,408.0,411.0,862.0,1630.0,12.5,603.0,593.0,738.3,735.0,736.0,744.0,20.0,657.0,1545.0,740.0,355.0,1011.0,65.31,csr2681a_frontal.png,csr2681a_lateral.png,csr2681a_frontal_mask.png,csr2681a_lateral_mask.png
2682,Female,526.0,236.0,195.0,495.0,755.0,560.0,300.0,403.0,134.0,969.0,821.0,561.0,953.0,733.0,213.0,718.0,114.0,223.0,177.0,173.0,150.0,532.0,172.0,387.0,1007.0,782.0,496.0,395.0,414.0,825.0,1564.0,28.0,604.0,590.0,712.3,697.0,713.0,727.0,22.0,595.0,1473.0,833.0,390.0,946.0,63.95,csr2682a_frontal.png,csr2682a_lateral.png,csr2682a_frontal_mask.png,csr2682a_lateral_mask.png
2684,Male,568.0,251.0,207.0,521.0,794.0,587.0,314.0,425.0,144.0,1026.0,,581.0,1029.0,703.0,233.0,741.0,113.0,246.0,191.0,184.0,150.0,553.0,187.0,376.0,1015.0,783.0,511.0,434.0,490.0,880.0,1644.0,40.0,644.0,618.0,742.6,735.0,759.0,734.0,13.0,511.0,1671.0,924.0,536.0,868.0,78.68,csr2684a_frontal.png,csr2684a_lateral.png,csr2684a_frontal_mask.png,csr2684a_lateral_mask.png
2686,Female,555.0,239.0,201.0,537.0,825.0,624.0,336.0,418.0,131.0,1051.0,836.0,585.0,972.0,755.0,204.0,767.0,111.0,245.0,183.0,186.0,138.0,524.0,178.0,430.0,1073.0,844.0,520.0,434.0,417.0,853.0,1643.0,34.5,624.0,615.0,770.0,766.0,780.0,764.0,23.5,716.0,1550.0,831.0,367.0,1048.0,74.83,csr2686a_frontal.png,csr2686a_lateral.png,csr2686a_frontal_mask.png,csr2686a_lateral_mask.png
2687,Female,556.0,238.0,182.0,493.0,763.0,581.0,311.0,391.0,139.0,901.0,746.0,567.0,848.0,735.0,225.0,763.0,111.0,227.0,183.0,168.0,142.0,541.0,187.0,399.0,1009.0,777.0,492.0,376.0,401.0,850.0,1594.0,15.5,578.0,577.0,699.0,695.0,705.0,697.0,20.0,550.0,1514.0,818.0,441.0,932.0,58.05,csr2687a_frontal.png,csr2687a_lateral.png,csr2687a_frontal_mask.png,csr2687a_lateral_mask.png
2688,Male,630.0,279.0,200.0,565.0,888.0,688.0,365.0,434.0,135.0,942.0,,633.0,979.0,831.0,251.0,873.0,133.0,294.0,222.0,221.0,156.0,594.0,208.0,374.0,1026.0,888.0,582.0,441.0,466.0,969.0,1854.0,7.5,565.0,582.0,793.6,798.0,795.0,788.0,8.0,617.0,1752.0,879.0,494.0,1056.0,77.55,csr2688a_frontal.png,csr2688a_lateral.png,csr2688a_frontal_mask.png,csr2688a_lateral_mask.png
2690,Female,563.0,224.0,169.0,479.0,736.0,567.0,310.0,338.0,137.0,807.0,680.0,543.0,799.0,716.0,240.0,732.0,110.0,235.0,177.0,179.0,147.0,532.0,179.0,351.0,895.0,767.0,483.0,367.0,390.0,850.0,1586.0,17.0,502.0,513.0,708.3,713.0,705.0,707.0,19.0,623.0,1499.0,664.0,372.0,960.0,48.75,csr2690a_frontal.png,csr2690a_lateral.png,csr2690a_frontal_mask.png,csr2690a_lateral_mask.png
2691,Female,554.0,226.0,189.0,460.0,724.0,535.0,271.0,377.0,143.0,882.0,712.0,528.0,851.0,644.0,268.0,731.0,98.0,223.0,187.0,181.0,152.0,554.0,182.0,368.0,968.0,676.0,446.0,385.0,419.0,855.0,1502.0,18.0,595.0,595.0,646.6,658.0,638.0,644.0,25.0,625.0,1473.0,686.0,344.0,879.0,56.46,csr2691a_frontal.png,csr2691a_lateral.png,csr2691a_frontal_mask.png,csr2691a_lateral_mask.png
2692,Female,581.0,235.0,201.0,501.0,748.0,547.0,300.0,392.0,145.0,855.0,731.0,515.0,862.0,676.0,272.0,786.0,104.0,230.0,192.0,175.0,154.0,554.0,178.0,356.0,893.0,724.0,464.0,393.0,407.0,891.0,1575.0,16.5,525.0,531.0,699.6,688.0,707.0,704.0,14.0,595.0,1518.0,716.0,392.0,914.0,53.29,csr2692a_frontal.png,csr2692a_lateral.png,csr2692a_frontal_mask.png,csr2692a_lateral_mask.png
2693,Female,535.0,230.0,190.0,500.0,770.0,580.0,310.0,352.0,130.0,829.0,709.0,568.0,828.0,732.0,207.0,741.0,112.0,224.0,169.0,175.0,144.0,541.0,186.0,368.0,954.0,792.0,489.0,399.0,404.0,857.0,1603.0,14.5,563.0,555.0,722.0,719.0,723.0,724.0,12.5,628.0,1508.0,701.0,350.0,968.0,56.01,csr2693a_frontal.png,csr2693a_lateral.png,csr2693a_frontal_mask.png,csr2693a_lateral_mask.png
2694,Female,570.0,242.0,178.0,496.0,775.0,597.0,318.0,331.0,136.0,834.0,729.0,605.0,797.0,774.0,242.0,757.0,111.0,248.0,179.0,183.0,147.0,570.0,186.0,373.0,939.0,809.0,520.0,389.0,399.0,865.0,1645.0,11.0,535.0,547.0,691.6,697.0,688.0,690.0,16.5,672.0,1529.0,632.0,345.0,1025.0,55.56,csr2694a_frontal.png,csr2694a_lateral.png,csr2694a_frontal_mask.png,csr2694a_lateral_mask.png
2695,Male,578.0,237.0,221.0,551.0,833.0,612.0,330.0,394.0,147.0,804.0,,573.0,839.0,777.0,237.0,793.0,119.0,247.0,188.0,189.0,147.0,528.0,179.0,314.0,864.0,835.0,529.0,408.0,456.0,889.0,1711.0,8.0,488.0,486.0,776.3,778.0,773.0,778.0,8.0,649.0,1581.0,889.0,390.0,1038.0,54.88,csr2695a_frontal.png,csr2695a_lateral.png,csr2695a_frontal_mask.png,csr2695a_lateral_mask.png
2696,Male,595.0,275.0,218.0,563.0,850.0,632.0,345.0,446.0,147.0,968.0,,618.0,1014.0,784.0,225.0,790.0,120.0,269.0,204.0,199.0,153.0,571.0,200.0,358.0,1017.0,837.0,555.0,459.0,494.0,907.0,1739.0,15.0,572.0,567.0,771.0,764.0,783.0,766.0,10.0,716.0,1691.0,831.0,393.0,1054.0,75.74,csr2696a_frontal.png,csr2696a_lateral.png,csr2696a_frontal_mask.png,csr2696a_lateral_mask.png
2697,Female,593.0,263.0,215.0,550.0,820.0,605.0,335.0,531.0,147.0,1338.0,1099.0,624.0,1221.0,694.0,255.0,755.0,111.0,237.0,199.0,184.0,155.0,580.0,191.0,528.0,1489.0,854.0,505.0,478.0,477.0,860.0,1589.0,57.0,780.0,796.0,757.6,759.0,755.0,759.0,63.5,894.0,1849.0,1237.0,415.0,999.0,126.3,csr2697a_frontal.png,csr2697a_lateral.png,csr2697a_frontal_mask.png,csr2697a_lateral_mask.png
2698,Female,560.0,231.0,198.0,512.0,774.0,576.0,314.0,369.0,147.0,919.0,766.0,548.0,928.0,711.0,238.0,764.0,101.0,234.0,186.0,179.0,151.0,549.0,181.0,399.0,1080.0,760.0,484.0,386.0,417.0,875.0,1601.0,15.0,594.0,598.0,714.0,711.0,711.0,720.0,19.0,648.0,1547.0,722.0,387.0,971.0,62.81,csr2698a_frontal.png,csr2698a_lateral.png,csr2698a_frontal_mask.png,csr2698a_lateral_mask.png
2699,Female,532.0,231.0,190.0,477.0,722.0,532.0,287.0,345.0,130.0,915.0,759.0,533.0,870.0,677.0,223.0,719.0,117.0,227.0,169.0,159.0,144.0,537.0,185.0,377.0,958.0,723.0,461.0,392.0,402.0,813.0,1509.0,11.5,538.0,533.0,679.6,663.0,682.0,694.0,8.0,611.0,1448.0,711.0,360.0,914.0,53.29,csr2699a_frontal.png,csr2699a_lateral.png,csr2699a_frontal_mask.png,csr2699a_lateral_mask.png
2700,Female,526.0,226.0,174.0,487.0,741.0,567.0,313.0,352.0,130.0,802.0,677.0,591.0,791.0,728.0,200.0,730.0,110.0,221.0,171.0,172.0,139.0,519.0,179.0,362.0,925.0,766.0,485.0,364.0,382.0,826.0,1580.0,11.0,525.0,526.0,685.3,682.0,687.0,687.0,18.0,572.0,1423.0,691.0,362.0,953.0,49.89,csr2700a_frontal.png,csr2700a_lateral.png,csr2700a_frontal_mask.png,csr2700a_lateral_mask.png
2701,Female,560.0,251.0,199.0,512.0,802.0,603.0,313.0,354.0,125.0,905.0,738.0,620.0,867.0,784.0,234.0,733.0,112.0,250.0,172.0,188.0,146.0,559.0,185.0,441.0,1112.0,819.0,531.0,390.0,435.0,840.0,1649.0,11.0,644.0,636.0,755.3,757.0,751.0,758.0,21.0,683.0,1532.0,712.0,357.0,1023.0,67.12,csr2701a_frontal.png,csr2701a_lateral.png,csr2701a_frontal_mask.png,csr2701a_lateral_mask.png
2702,Female,475.0,223.0,171.0,484.0,763.0,592.0,313.0,377.0,131.0,1011.0,780.0,631.0,934.0,775.0,143.0,629.0,103.0,236.0,169.0,174.0,152.0,529.0,174.0,425.0,1072.0,822.0,519.0,385.0,410.0,742.0,1553.0,37.0,640.0,626.0,741.6,728.0,754.0,743.0,26.0,567.0,1479.0,975.0,379.0,952.0,67.35,csr2702a_frontal.png,csr2702a_lateral.png,csr2702a_frontal_mask.png,csr2702a_lateral_mask.png
2703,Female,613.0,249.0,214.0,561.0,853.0,639.0,347.0,343.0,129.0,838.0,738.0,595.0,802.0,832.0,263.0,806.0,111.0,259.0,189.0,209.0,137.0,534.0,187.0,371.0,939.0,903.0,568.0,385.0,412.0,917.0,1768.0,9.0,511.0,512.0,764.3,749.0,774.0,770.0,7.0,672.0,1576.0,652.0,393.0,1096.0,57.37,csr2703a_frontal.png,csr2703a_lateral.png,csr2703a_frontal_mask.png,csr2703a_lateral_mask.png
2704,Female,558.0,219.0,186.0,482.0,740.0,554.0,296.0,328.0,132.0,787.0,653.0,529.0,810.0,694.0,246.0,734.0,104.0,230.0,161.0,182.0,143.0,522.0,175.0,344.0,862.0,730.0,468.0,372.0,387.0,860.0,1575.0,12.0,488.0,488.0,712.6,706.0,712.0,720.0,7.5,528.0,1470.0,691.0,392.0,895.0,46.03,csr2704a_frontal.png,csr2704a_lateral.png,csr2704a_frontal_mask.png,csr2704a_lateral_mask.png
2705,Female,564.0,240.0,187.0,520.0,802.0,615.0,333.0,465.0,144.0,1147.0,901.0,648.0,1028.0,748.0,221.0,726.0,112.0,253.0,189.0,186.0,146.0,569.0,193.0,449.0,1184.0,903.0,519.0,443.0,461.0,835.0,1631.0,51.0,726.0,711.0,758.3,749.0,764.0,762.0,28.0,785.0,1657.0,903.0,355.0,1036.0,90.48,csr2705a_frontal.png,csr2705a_lateral.png,csr2705a_frontal_mask.png,csr2705a_lateral_mask.png
2706,Male,604.0,249.0,179.0,519.0,813.0,634.0,340.0,390.0,131.0,917.0,,596.0,939.0,793.0,242.0,751.0,121.0,268.0,198.0,190.0,148.0,572.0,206.0,341.0,922.0,857.0,557.0,458.0,413.0,874.0,1721.0,10.0,502.0,512.0,754.0,753.0,756.0,753.0,3.5,585.0,1614.0,789.0,446.0,1035.0,65.08,csr2706a_frontal.png,csr2706a_lateral.png,csr2706a_frontal_mask.png,csr2706a_lateral_mask.png
2707,Male,571.0,262.0,186.0,528.0,821.0,635.0,342.0,466.0,149.0,1121.0,,606.0,1105.0,755.0,215.0,766.0,119.0,261.0,209.0,203.0,163.0,566.0,189.0,396.0,1086.0,907.0,541.0,469.0,478.0,872.0,1699.0,31.0,615.0,638.0,808.3,802.0,809.0,814.0,12.0,660.0,1687.0,1058.0,474.0,999.0,86.62,csr2707a_frontal.png,csr2707a_lateral.png,csr2707a_frontal_mask.png,csr2707a_lateral_mask.png
2708,Female,524.0,245.0,181.0,480.0,739.0,558.0,299.0,352.0,133.0,889.0,733.0,575.0,831.0,738.0,205.0,715.0,110.0,243.0,180.0,177.0,152.0,556.0,187.0,397.0,1013.0,789.0,496.0,394.0,377.0,824.0,1579.0,20.0,581.0,587.0,707.6,707.0,701.0,715.0,25.0,686.0,1474.0,704.0,327.0,1013.0,56.92,csr2708a_frontal.png,csr2708a_lateral.png,csr2708a_frontal_mask.png,csr2708a_lateral_mask.png
2709,Male,624.0,279.0,214.0,578.0,891.0,677.0,364.0,412.0,136.0,896.0,,609.0,922.0,853.0,239.0,831.0,118.0,274.0,211.0,201.0,151.0,563.0,200.0,366.0,947.0,897.0,577.0,452.0,458.0,962.0,1824.0,8.5,501.0,522.0,834.6,839.0,836.0,829.0,6.0,539.0,1632.0,822.0,455.0,1055.0,68.48,csr2709a_frontal.png,csr2709a_lateral.png,csr2709a_frontal_mask.png,csr2709a_lateral_mask.png
2710,Female,584.0,264.0,186.0,513.0,804.0,618.0,327.0,426.0,137.0,1077.0,854.0,647.0,1044.0,780.0,239.0,761.0,113.0,272.0,195.0,196.0,159.0,583.0,199.0,472.0,1209.0,841.0,537.0,407.0,452.0,895.0,1694.0,29.0,737.0,725.0,752.0,744.0,754.0,758.0,25.0,644.0,1649.0,956.0,456.0,1007.0,89.12,csr2710a_frontal.png,csr2710a_lateral.png,csr2710a_frontal_mask.png,csr2710a_lateral_mask.png
2711,Female,591.0,218.0,189.0,490.0,730.0,541.0,301.0,357.0,135.0,868.0,766.0,546.0,820.0,691.0,281.0,784.0,113.0,229.0,167.0,173.0,148.0,525.0,170.0,397.0,995.0,732.0,480.0,361.0,402.0,879.0,1595.0,28.0,605.0,597.0,681.0,672.0,682.0,689.0,19.0,647.0,1593.0,769.0,428.0,936.0,60.54,csr2711a_frontal.png,csr2711a_lateral.png,csr2711a_frontal_mask.png,csr2711a_lateral_mask.png
2713,Female,589.0,241.0,177.0,480.0,734.0,557.0,303.0,446.0,138.0,1172.0,953.0,579.0,1080.0,654.0,297.0,750.0,112.0,222.0,181.0,158.0,152.0,545.0,182.0,460.0,1226.0,827.0,462.0,438.0,455.0,869.0,1549.0,61.0,715.0,685.0,658.6,656.0,662.0,658.0,45.0,765.0,1724.0,955.0,463.0,908.0,89.12,csr2713a_frontal.png,csr2713a_lateral.png,csr2713a_frontal_mask.png,csr2713a_lateral_mask.png
2714,Female,580.0,223.0,181.0,465.0,687.0,506.0,284.0,353.0,140.0,762.0,680.0,498.0,760.0,670.0,292.0,771.0,108.0,233.0,179.0,166.0,157.0,522.0,168.0,354.0,882.0,704.0,447.0,394.0,374.0,867.0,1535.0,20.5,489.0,503.0,634.0,628.0,636.0,638.0,17.5,692.0,1493.0,592.0,303.0,946.0,46.94,csr2714a_frontal.png,csr2714a_lateral.png,csr2714a_frontal_mask.png,csr2714a_lateral_mask.png
2715,Male,582.0,251.0,192.0,519.0,775.0,583.0,327.0,431.0,145.0,951.0,,562.0,953.0,711.0,237.0,788.0,117.0,244.0,187.0,190.0,158.0,555.0,189.0,347.0,1005.0,903.0,512.0,449.0,435.0,874.0,1645.0,34.0,483.0,502.0,725.0,721.0,728.0,726.0,21.5,670.0,1628.0,900.0,420.0,972.0,69.16,csr2715a_frontal.png,csr2715a_lateral.png,csr2715a_frontal_mask.png,csr2715a_lateral_mask.png
2716,Female,515.0,226.0,165.0,464.0,711.0,546.0,299.0,360.0,137.0,844.0,678.0,538.0,820.0,702.0,210.0,693.0,102.0,225.0,173.0,167.0,153.0,528.0,173.0,366.0,906.0,718.0,450.0,373.0,370.0,800.0,1507.0,14.0,514.0,523.0,672.3,671.0,675.0,671.0,11.0,520.0,1401.0,730.0,385.0,866.0,49.21,csr2716a_frontal.png,csr2716a_lateral.png,csr2716a_frontal_mask.png,csr2716a_lateral_mask.png
2718,Male,614.0,254.0,211.0,552.0,831.0,620.0,341.0,440.0,149.0,1006.0,,564.0,1063.0,735.0,271.0,798.0,126.0,261.0,199.0,202.0,162.0,568.0,193.0,348.0,975.0,815.0,538.0,453.0,503.0,908.0,1689.0,24.5,587.0,591.0,780.6,767.0,782.0,793.0,5.0,543.0,1698.0,827.0,490.0,940.0,76.42,csr2718a_frontal.png,csr2718a_lateral.png,csr2718a_frontal_mask.png,csr2718a_lateral_mask.png
2719,Male,596.0,252.0,204.0,512.0,800.0,596.0,308.0,418.0,145.0,964.0,,564.0,983.0,725.0,263.0,823.0,124.0,250.0,190.0,191.0,158.0,546.0,184.0,344.0,948.0,915.0,523.0,454.0,458.0,929.0,1712.0,29.5,549.0,556.0,733.3,746.0,733.0,721.0,8.5,678.0,1674.0,872.0,434.0,995.0,71.88,csr2719a_frontal.png,csr2719a_lateral.png,csr2719a_frontal_mask.png,csr2719a_lateral_mask.png
2720,Male,570.0,278.0,212.0,541.0,815.0,603.0,329.0,446.0,151.0,1152.0,,618.0,1130.0,673.0,229.0,758.0,111.0,257.0,207.0,187.0,163.0,590.0,197.0,417.0,1197.0,897.0,527.0,492.0,498.0,876.0,1661.0,38.0,653.0,661.0,748.3,746.0,744.0,755.0,16.0,740.0,1783.0,1139.0,487.0,957.0,103.17,csr2720a_frontal.png,csr2720a_lateral.png,csr2720a_frontal_mask.png,csr2720a_lateral_mask.png
2721,Male,565.0,230.0,227.0,551.0,826.0,599.0,324.0,458.0,146.0,959.0,,570.0,986.0,709.0,219.0,772.0,116.0,240.0,199.0,187.0,156.0,565.0,195.0,350.0,923.0,787.0,493.0,459.0,482.0,885.0,1641.0,27.0,546.0,554.0,762.3,768.0,777.0,742.0,10.0,633.0,1626.0,814.0,423.0,962.0,67.8,csr2721a_frontal.png,csr2721a_lateral.png,csr2721a_frontal_mask.png,csr2721a_lateral_mask.png
2722,Female,563.0,234.0,182.0,462.0,729.0,547.0,280.0,377.0,135.0,981.0,808.0,562.0,922.0,708.0,257.0,752.0,107.0,237.0,175.0,171.0,152.0,552.0,193.0,414.0,1013.0,843.0,488.0,403.0,405.0,859.0,1590.0,24.5,582.0,603.0,680.3,673.0,685.0,683.0,21.0,728.0,1559.0,749.0,332.0,982.0,63.95,csr2722a_frontal.png,csr2722a_lateral.png,csr2722a_frontal_mask.png,csr2722a_lateral_mask.png
2723,Male,625.0,248.0,201.0,532.0,819.0,618.0,331.0,404.0,145.0,943.0,,553.0,959.0,732.0,281.0,806.0,122.0,259.0,206.0,192.0,164.0,558.0,182.0,366.0,976.0,800.0,508.0,449.0,471.0,932.0,1703.0,26.0,578.0,588.0,761.6,755.0,765.0,765.0,11.5,629.0,1672.0,817.0,434.0,977.0,69.16,csr2723a_frontal.png,csr2723a_lateral.png,csr2723a_frontal_mask.png,csr2723a_lateral_mask.png
2724,Female,570.0,230.0,193.0,531.0,800.0,607.0,338.0,345.0,128.0,867.0,728.0,600.0,843.0,780.0,224.0,733.0,102.0,239.0,182.0,178.0,143.0,524.0,181.0,404.0,1004.0,840.0,519.0,403.0,421.0,850.0,1659.0,9.0,579.0,574.0,718.3,714.0,721.0,720.0,16.0,690.0,1506.0,652.0,310.0,1056.0,54.65,csr2724a_frontal.png,csr2724a_lateral.png,csr2724a_frontal_mask.png,csr2724a_lateral_mask.png
2726,Female,540.0,229.0,197.0,498.0,750.0,553.0,301.0,370.0,139.0,836.0,747.0,539.0,840.0,715.0,227.0,724.0,112.0,231.0,187.0,176.0,146.0,541.0,180.0,358.0,918.0,762.0,473.0,368.0,399.0,827.0,1555.0,18.0,522.0,510.0,677.6,676.0,675.0,682.0,19.0,651.0,1455.0,608.0,365.0,956.0,52.61,csr2726a_frontal.png,csr2726a_lateral.png,csr2726a_frontal_mask.png,csr2726a_lateral_mask.png
2727,Male,568.0,261.0,238.0,589.0,906.0,668.0,351.0,436.0,148.0,1026.0,,601.0,1061.0,791.0,189.0,784.0,131.0,261.0,210.0,199.0,153.0,585.0,198.0,372.0,1012.0,861.0,550.0,483.0,513.0,906.0,1746.0,16.5,572.0,598.0,811.3,799.0,816.0,819.0,7.5,657.0,1656.0,856.0,451.0,1030.0,78.46,csr2727a_frontal.png,csr2727a_lateral.png,csr2727a_frontal_mask.png,csr2727a_lateral_mask.png
